time (s),altitude (m)
0.0,408000.0
1000.0,402919.7835393362
2000.0,393517.58249128703
3000.0,390641.67232076917
4000.0,397617.5227517262
5000.0,406369.8870802857
6000.0,406812.6269383533
7000.0,398433.5083215423
8000.0,390877.16791152675
9000.0,392877.7862576153
10000.0,402112.66338584665
11000.0,407913.208418156
12000.0,403605.0262055332
13000.0,394136.7756406078
14000.0,390429.28309814166
15000.0,396770.5178821618
16000.0,405817.16580580827
17000.0,407140.1722100759
18000.0,399215.7006104877
19000.0,391162.08680935483
20000.0,392286.02504713647
21000.0,401280.06204734836
22000.0,407749.66468857974
23000.0,404248.8710943507
24000.0,394797.7822971735
25000.0,390293.4772643214
26000.0,395946.0689422507
27000.0,405207.43508659117
28000.0,407396.84429573733
29000.0,399994.57028781064
30000.0,391515.4664709121
31000.0,391755.06632766686
32000.0,400430.4016648857
33000.0,407511.2493404737
34000.0,404846.12497387733
35000.0,395494.3902928103
36000.0,390234.6924292613
37000.0,395150.6304263845
38000.0,404545.5048993714
39000.0,407580.20518798754
40000.0,400763.2254855186
41000.0,391933.84076953307
42000.0,391289.23553194664
43000.0,399570.6439748481
44000.0,407199.6426674314
45000.0,405391.1527655404
46000.0,396219.8712978633
47000.0,390252.82752823737
48000.0,394390.98598018475
49000.0,403837.1205661874
50000.0,407688.6256738072
51000.0,401514.50918533653
52000.0,392412.81209176406
53000.0,390891.7658715248
54000.0,398707.8561281515
55000.0,406817.35254062805
56000.0,405878.96562086325
57000.0,396967.44768634904
58000.0,390346.84661300015
59000.0,393673.021402359
60000.0,403088.2860954646
61000.0,407721.33312995266
62000.0,402241.61912285537
63000.0,392947.13194203563
64000.0,390565.1397489039
65000.0,397849.37566438224
66000.0,406368.3833614122
67000.0,406305.8689353205
68000.0,397730.08294298314
69000.0,390515.07166935224
70000.0,393002.2477001948
71000.0,402305.16546702106
72000.0,407678.02838288806
73000.0,402938.42666931637
74000.0,393532.15618721955
75000.0,390311.7457652362
76000.0,397001.6022051908
77000.0,405855.65059640165
78000.0,406667.81922515295
79000.0,398501.25165314786
80000.0,390755.78299381956
81000.0,392383.97099616844
82000.0,401494.18377789296
83000.0,407558.90094293654
84000.0,403598.2749121273
85000.0,394161.7465287149
86000.0,390132.9532050146
87000.0,396172.2127997419
88000.0,405284.2841207441
89000.0,406961.7687180694
90000.0,399273.15341917146
91000.0,391065.2811841052
92000.0,391822.7779244138
93000.0,400662.5310862148
94000.0,407365.4843648579
95000.0,404215.50656093564
96000.0,394829.83038321324
97000.0,390029.5625172425
98000.0,395367.4780944595
99000.0,404658.52646466624
100000.0,407184.8326165257
101000.0,400038.9468450742
102000.0,391440.73352110013
103000.0,391323.08329432923
104000.0,399816.813093652
105000.0,407099.104740398
106000.0,404784.6604251899
107000.0,395529.9591542352
108000.0,390001.4781055711
109000.0,394594.0049571544
110000.0,403984.2461588308
111000.0,407335.639830336
112000.0,400791.9262533197
113000.0,391878.10475803073
114000.0,390888.49912888
115000.0,398964.0495716948
116000.0,406762.0218694983
117000.0,405300.6095243599
118000.0,396255.84035440255
119000.0,390048.51172839757
120000.0,393857.9549694462
121000.0,403266.7428989755
122000.0,407412.55762052536
123000.0,401524.94741939567
124000.0,392372.6571602663
125000.0,390521.9543693438
126000.0,398111.35090399627
127000.0,406357.4017154621
128000.0,405759.11650842335
129000.0,397000.458855344
130000.0,390169.2545542354
131000.0,393164.8758394057
132000.0,402511.9221189851
133000.0,407415.07344813086
134000.0,402232.11230839323
135000.0,392919.97888665646
136000.0,390226.02285109926
137000.0,397265.3275492443
138000.0,405888.0784357283
139000.0,406155.93004720006
140000.0,397757.4750606371
141000.0,390362.3520133691
142000.0,392520.2853252478
143000.0,401725.8568438506
144000.0,407342.8681179816
145000.0,402906.80599749275
146000.0,393514.80985968653
147000.0,390002.6026365319
148000.0,396432.8018612722
149000.0,405358.04199402593
150000.0,406487.61556316074
151000.0,398519.7130012112
152000.0,390625.318841069
153000.0,391929.2082158774
154000.0,400915.2037688
155000.0,407196.6804737849
156000.0,403542.92434044834
157000.0,394150.9073253628
158000.0,389852.67969778646
159000.0,395620.6051327018
160000.0,404772.15210440196
161000.0,406751.8462549122
162000.0,399280.42732281145
163000.0,390954.7814086685
164000.0,391395.59536002856
165000.0,400086.58696311153
166000.0,406978.17748070136
167000.0,404135.36023596115
168000.0,394822.45113778487
169000.0,389776.5025643045
170000.0,394834.9271387104
171000.0,404135.2010194054
172000.0,406946.2010245221
173000.0,400032.7532393299
174000.0,391347.32354111504
175000.0,390923.3712618053
176000.0,399246.5653257016
177000.0,406689.0776053313
178000.0,404679.2215216281
179000.0,395523.5269151218
180000.0,389774.12331502326
181000.0,394081.8000081973
182000.0,403452.1635510139
183000.0,407068.87303962465
184000.0,400769.9714871235
185000.0,391799.0509402156
186000.0,390516.1202446446
187000.0,398402.1081803711
188000.0,406331.52115918323
189000.0,405169.06639324315
190000.0,396247.2675926639
191000.0,389845.1508519538
192000.0,393367.5093923183
193000.0,402728.7637808705
194000.0,407118.8406870952
195000.0,401485.694920294
196000.0,392305.4813046763
197000.0,390176.64169400744
198000.0,397560.0672252178
199000.0,405908.65415852144
200000.0,405601.16930072755
201000.0,396987.3642652007
202000.0,389988.03693147004
203000.0,392697.1978163747
204000.0,401970.85987197235
205000.0,407095.75010140706
206000.0,402173.5849643657
207000.0,392861.63057472
208000.0,389906.9383998541
209000.0,396726.9882303942
210000.0,405424.0549858529
211000.0,405971.74221567344
212000.0,397736.8452630164
213000.0,390200.75011224765
214000.0,392076.26431396883
215000.0,401184.84804686625
216000.0,406999.93800548464
217000.0,402827.64435833786
218000.0,393462.11533611454
219000.0,389708.51228884887
220000.0,395909.23177855555
221000.0,404881.2935587857
222000.0,406277.61758604925
223000.0,398489.4782619979
224000.0,390481.1060891384
225000.0,391509.0727149546
226000.0,400376.68399005104
227000.0,406831.739997766
228000.0,403442.26466486976
229000.0,394101.7224170305
230000.0,389582.71305418294
231000.0,395113.5821480891
232000.0,404285.06095023546
233000.0,406516.15710393526
234000.0,399238.2071129773
235000.0,390825.6234791279
236000.0,390999.6716894666
237000.0,399553.028262781
238000.0,406593.07972101495
239000.0,404012.315626408
240000.0,394774.0304071149
241000.0,389529.20264832955
242000.0,394345.66929829307
243000.0,403640.13174976036
244000.0,406685.64256649185
245000.0,399976.82030123565
246000.0,391231.07483340986
247000.0,390551.697323177
248000.0,398720.26714348793
